iter	MultiClass
300	1.07560441
301	1.075356603
302	1.07499679
303	1.074894701
304	1.074788983
305	1.074564705
306	1.074378478
307	1.073641332
308	1.073508549
309	1.073317478
310	1.073106343
311	1.072642821
312	1.072226935
313	1.071876611
314	1.071566534
315	1.071296668
316	1.071149029
317	1.070906705
318	1.070776284
319	1.070336493
320	1.069922632
321	1.069772294
322	1.0694261
323	1.069232906
324	1.069021574
325	1.068569522
326	1.068265809
327	1.068166352
328	1.067758261
329	1.067470376
330	1.067267549
331	1.067076042
332	1.066901087
333	1.066450526
334	1.066025452
335	1.065818906
336	1.065275866
337	1.064816522
338	1.064482409
339	1.064272452
340	1.063854657
341	1.063575374
342	1.063351655
343	1.062985758
344	1.062643464
345	1.06247338
346	1.062246711
347	1.06210614
348	1.061747281
349	1.061637629
350	1.061354285
351	1.061037519
352	1.060848447
353	1.060664313
354	1.060119101
355	1.059881045
356	1.059794008
357	1.05926469
358	1.059139174
359	1.058791558
360	1.058503726
361	1.058121219
362	1.057852354
363	1.057603394
364	1.057449819
365	1.05700814
366	1.056779323
367	1.056328703
368	1.056064401
369	1.055762229
370	1.055491087
371	1.055281889
372	1.054919646
373	1.05456347
374	1.054190716
375	1.054108206
376	1.053805863
377	1.053654309
378	1.053333369
379	1.053200174
380	1.053147902
381	1.052871298
382	1.052561603
383	1.052336979
384	1.052090151
385	1.051779379
386	1.051468397
387	1.051315059
388	1.050953721
389	1.050828713
390	1.050583523
391	1.050469587
392	1.050280531
393	1.049904967
394	1.049483958
395	1.049155478
396	1.048724098
397	1.048604523
398	1.048273058
399	1.048078274
400	1.047903895
401	1.047568464
402	1.047283518
403	1.047219534
404	1.046875949
405	1.046370848
406	1.045821315
407	1.045567674
408	1.045274465
409	1.044893406
410	1.044504835
411	1.044488239
412	1.04431713
413	1.044030446
414	1.043682285
415	1.043408627
416	1.043158754
417	1.042765905
418	1.042105964
419	1.041917361
420	1.041610362
421	1.041251846
422	1.040899812
423	1.040581488
424	1.040322344
425	1.040139996
426	1.039899626
427	1.039767088
428	1.039279984
429	1.039036495
430	1.038786938
431	1.038404872
432	1.037808797
433	1.037595297
434	1.03743421
435	1.03714053
436	1.036982284
437	1.036571459
438	1.03639516
439	1.036026881
440	1.035800264
441	1.035692804
442	1.035287618
443	1.035002026
444	1.03472141
445	1.034516288
446	1.034342373
447	1.034035081
448	1.033712907
449	1.033424779
450	1.0331445
451	1.032859788
452	1.032635681
453	1.032229007
454	1.031920397
455	1.031793792
456	1.031447724
457	1.031375991
458	1.031080843
459	1.030956396
460	1.030510903
461	1.030237284
462	1.029896345
463	1.029668782
464	1.029261753
465	1.028905258
466	1.028655586
467	1.028298472
468	1.028230922
469	1.027956497
470	1.027761114
471	1.027573786
472	1.027021226
473	1.026740062
474	1.026662839
475	1.026393791
476	1.025942851
477	1.025714162
478	1.025303953
479	1.025068106
480	1.024812165
481	1.024527501
482	1.024074997
483	1.023769511
484	1.023360878
485	1.023076556
486	1.022810855
487	1.022654102
488	1.022539261
489	1.02217285
490	1.021900349
491	1.021711154
492	1.021435905
493	1.021164408
494	1.02071555
495	1.02049149
496	1.02019126
497	1.019851896
498	1.019566567
499	1.019307346
500	1.01902789
501	1.018759234
502	1.018328658
503	1.01809997
504	1.0179596
505	1.01771651
506	1.017377623
507	1.017209334
508	1.01689517
509	1.016578674
510	1.016092742
511	1.015772596
512	1.015279134
513	1.015072105
514	1.01484432
515	1.01454975
516	1.014101239
517	1.014026755
518	1.013848836
519	1.013509252
520	1.013309703
521	1.013086393
522	1.012634076
523	1.012381788
524	1.012196313
525	1.011925576
526	1.011797263
527	1.011333505
528	1.011103586
529	1.010871761
530	1.010481114
531	1.010294511
532	1.009845383
533	1.009475946
534	1.009187749
535	1.008826432
536	1.008631608
537	1.00838694
538	1.008161345
539	1.00775509
540	1.00752605
541	1.007076742
542	1.006876883
543	1.00679478
544	1.006516407
545	1.006343795
546	1.006152346
547	1.005919372
548	1.005858268
549	1.005453504
550	1.005308571
551	1.004987785
552	1.004881415
553	1.004794247
554	1.004702511
555	1.004368591
556	1.004279986
557	1.004099809
558	1.003956321
559	1.00363243
560	1.003444425
561	1.003240328
562	1.002976232
563	1.002737815
564	1.002508693
565	1.002313494
566	1.002104729
567	1.001877245
568	1.001576417
569	1.001313577
570	1.001238873
571	1.001068374
572	1.000837768
573	1.000694935
574	1.00038574
575	1.000313938
576	1.000090706
577	0.9999172849
578	0.9995951513
579	0.9992564741
580	0.9990241976
581	0.9986748987
582	0.9984036482
583	0.9982621094
584	0.9979994496
585	0.9975987936
586	0.9973166202
587	0.9970369601
588	0.9968008795
589	0.9967246288
590	0.996484617
591	0.9961166437
592	0.9960169321
593	0.995818996
594	0.995718633
595	0.9955165356
596	0.9952830844
597	0.9950203569
598	0.994772752
599	0.9943996782
600	0.9941548287
601	0.9938542213
602	0.9936629017
603	0.9933602892
604	0.9930441319
605	0.9928324634
606	0.99257703
607	0.99236204
608	0.9922603343
609	0.9920960051
610	0.9917609553
611	0.9917109376
612	0.9915321917
613	0.991190673
614	0.9910709175
615	0.9906279333
616	0.9904119687
617	0.9902642895
618	0.9900934482
619	0.9898946433
620	0.9897213993
621	0.9894141428
622	0.9891567891
623	0.9890217769
624	0.9887527435
625	0.9882446515
626	0.9879259893
627	0.9876857025
628	0.9874641457
629	0.9871024943
630	0.9867927143
631	0.986391799
632	0.9862861034
633	0.9860396306
634	0.9858907195
635	0.985491242
636	0.9852793067
637	0.9850623103
638	0.9849547992
639	0.9847557727
640	0.9845584459
641	0.9842887422
642	0.9840024086
643	0.9836626829
644	0.9834261171
645	0.983153858
646	0.9829820909
647	0.9827865657
648	0.9824362675
649	0.9820312148
650	0.9817544426
651	0.9815166141
652	0.9812219495
653	0.9810596821
654	0.9807950847
655	0.9805404677
656	0.9803844791
657	0.9801088813
658	0.9799457277
659	0.9796845685
660	0.9794953438
661	0.9794312783
662	0.9790119351
663	0.9787293697
664	0.9785783212
665	0.9782507474
666	0.9779886355
667	0.97774857
668	0.9774266484
669	0.9771922363
670	0.9769452523
671	0.9767188786
672	0.9762482088
673	0.9758998552
674	0.9756497841
675	0.9753630874
676	0.9751930689
677	0.9749692737
678	0.9748367377
679	0.9745869742
680	0.9743774719
681	0.9740430722
682	0.9738367912
683	0.9736383661
684	0.9733233732
685	0.9731743563
686	0.9730673835
687	0.9729372541
688	0.9726252776
689	0.9724805976
690	0.972155186
691	0.9718608315
692	0.9717709631
693	0.9716602738
694	0.9711828883
695	0.9710290309
696	0.9708594843
697	0.9706770504
698	0.9704034828
699	0.9701919332
700	0.9700639439
701	0.969995475
702	0.9697202582
703	0.9694558243
704	0.9690743406
705	0.9689361555
706	0.9688429757
707	0.968445966
708	0.9680313779
709	0.9678001722
710	0.9676123786
711	0.9675135019
712	0.9672130633
713	0.9669841113
714	0.9666924673
715	0.9665326781
716	0.9662947712
717	0.9659972294
718	0.9656648844
719	0.9655430774
720	0.9652531022
721	0.9649181937
722	0.9647560047
723	0.9643802147
724	0.9641763621
725	0.9638915234
726	0.9634701257
727	0.9632656522
728	0.963016984
729	0.9627621016
730	0.962698514
731	0.9623684173
732	0.9619835001
733	0.9618353198
734	0.9616769244
735	0.9614626966
736	0.9613481761
737	0.9611965625
738	0.9609542658
739	0.9609296518
740	0.9606722566
741	0.9603811
742	0.9602247957
743	0.9599672292
744	0.9596565687
745	0.9595963345
746	0.9591595096
747	0.9587539041
748	0.9582578442
749	0.9580282755
750	0.9576949509
751	0.9575227501
752	0.9574056651
753	0.9572591793
754	0.9569959372
755	0.9565355756
756	0.9562404694
757	0.9559831222
758	0.9556504952
759	0.9553416496
760	0.9550722176
761	0.9548694834
762	0.9546180071
763	0.9543826607
764	0.9540212713
765	0.953722706
766	0.953467901
767	0.9534051069
768	0.9530481056
769	0.9529404891
770	0.9526831299
771	0.9523184637
772	0.9520626583
773	0.9519590906
774	0.9516398573
775	0.9514316726
776	0.9511261182
777	0.9509157075
778	0.950683312
779	0.9504346768
780	0.9501666463
781	0.9500041728
782	0.9498114344
783	0.9494914791
784	0.9492763741
785	0.9489182667
786	0.9485695649
787	0.9482736158
788	0.9479937854
789	0.9477716851
790	0.9476088627
791	0.9475449036
792	0.9474032999
793	0.9471060817
794	0.9466247686
795	0.9464888836
796	0.9462120277
797	0.9461310476
798	0.9458149592
799	0.9455133369
800	0.9452757826
801	0.944840059
802	0.9446112206
803	0.9443652489
804	0.9440963785
805	0.9439497585
806	0.9437019671
807	0.943502936
808	0.9433659233
809	0.9431695443
810	0.9429792221
811	0.9426437078
812	0.9422373865
813	0.9421849234
814	0.9420273972
815	0.9418950819
816	0.9416308659
817	0.941373556
818	0.9411803277
819	0.9409062647
820	0.9408118313
821	0.9406660911
822	0.9404955022
823	0.9401643075
824	0.9400789271
825	0.9398417872
826	0.9396380989
827	0.9395014482
828	0.9392342094
829	0.9388134625
830	0.9387202338
831	0.9383152733
832	0.938064164
833	0.9377145876
834	0.9374905734
835	0.9373010376
836	0.9369383257
837	0.9367373569
838	0.9364510973
839	0.9363515119
840	0.9361366759
841	0.9359112095
842	0.9358279215
843	0.9356204036
844	0.935223898
845	0.9349453288
846	0.9347766119
847	0.9342838331
848	0.9338402818
849	0.9335391759
850	0.933440477
851	0.93330495
852	0.9328724253
853	0.9324287584
854	0.9322021855
855	0.9320729036
856	0.9317955834
857	0.9316497366
858	0.9312299088
859	0.9308619353
860	0.9305234541
861	0.9303608001
862	0.930273307
863	0.9301461996
864	0.9297576548
865	0.9294901071
866	0.929214583
867	0.9288826042
868	0.9285601333
869	0.9284017617
870	0.9281477412
871	0.9279027334
872	0.9275201411
873	0.9271823852
874	0.926912173
875	0.9267845558
876	0.9265411804
877	0.9263262998
878	0.9261013127
879	0.9260322501
880	0.9258895101
881	0.9258217567
882	0.9255708317
883	0.9254561914
884	0.9253397609
885	0.9250971915
886	0.9248503997
887	0.9247571776
888	0.9246349721
889	0.9245110839
890	0.9243976044
891	0.9241971253
892	0.924022543
893	0.9238261058
894	0.9235333785
895	0.923377799
896	0.9231638588
897	0.9229515456
898	0.9227330547
899	0.9225283981
900	0.9223061491
901	0.9221283341
902	0.9220187683
903	0.9218215233
904	0.9215942186
905	0.9213436199
906	0.9211136565
907	0.9207951206
908	0.9206419417
909	0.9203912984
910	0.9201527619
911	0.9199000349
912	0.9197194421
913	0.9194708435
914	0.9192184412
915	0.9189417901
916	0.9187138035
917	0.9183814503
918	0.9182770151
919	0.917992218
920	0.9178283756
921	0.9175145977
922	0.9172871065
923	0.9171517456
924	0.9169744813
925	0.9166591426
926	0.9163769388
927	0.9161842546
928	0.9160234715
929	0.9157214212
930	0.9155864127
931	0.9153593107
932	0.9150430129
933	0.9148411767
934	0.9146546363
935	0.9144742581
936	0.9143592015
937	0.9142173281
938	0.9139899613
939	0.913793396
940	0.9135002504
941	0.9132005608
942	0.9130525744
943	0.9128722608
944	0.9125584038
945	0.9123034111
946	0.9121342444
947	0.9117836642
948	0.9116750532
949	0.9113471958
950	0.9111638719
951	0.9110886892
952	0.9108798287
953	0.9105731697
954	0.9104594314
955	0.9100420077
956	0.9096771517
957	0.9092396579
958	0.9091232888
959	0.908794093
960	0.9084543666
961	0.9083657246
962	0.9082721777
963	0.9081237108
964	0.9079331917
965	0.9077383244
966	0.9073363727
967	0.90724637
968	0.9070018638
969	0.9067471757
970	0.9065018972
971	0.9062632622
972	0.9059952114
973	0.9056498799
974	0.9055682033
975	0.9052619538
976	0.9050357281
977	0.9047061135
978	0.9045661747
979	0.9042644032
980	0.9039357861
981	0.9038287916
982	0.9034629778
983	0.9031242299
984	0.9028225319
985	0.902743948
986	0.9024968539
987	0.9022996298
988	0.9020067508
989	0.9017853161
990	0.9015386433
991	0.9013054336
992	0.901210276
993	0.9011358651
994	0.9006548479
995	0.9004736853
996	0.9000515497
997	0.8999007246
998	0.8997166482
999	0.8995839058
